epoch,stage,total,bce,wbce,nc,q,base_loss,region_coef,region_ratio,region_ual,region_ual_raw
67,C3_anneal,0.159105,0.065118,0.065118,0.079380,1.000000,0.158761,0.050679,0.141760,0.000344,0.033999
68,C3_anneal,0.157820,0.070580,0.070580,0.078690,1.000000,0.157380,0.067058,0.145781,0.000440,0.032861
69,C3_anneal,0.153880,0.069199,0.069199,0.076666,1.000000,0.153332,0.085546,0.142849,0.000548,0.032024
70,C3_anneal,0.151579,0.069770,0.069770,0.075463,1.000000,0.150925,0.106053,0.144670,0.000654,0.030831
71,C3_anneal,0.156059,0.072076,0.072076,0.077643,1.000000,0.155286,0.128480,0.143736,0.000773,0.030100
72,C3_anneal,0.147737,0.071422,0.071422,0.073426,1.000000,0.146852,0.152716,0.144095,0.000884,0.028966
73,C3_anneal,0.151665,0.072186,0.072186,0.075320,1.000000,0.150641,0.178645,0.142570,0.001025,0.028691
74,C3_anneal,0.156127,0.073501,0.073501,0.077476,1.000000,0.154952,0.206139,0.141507,0.001175,0.028488
75,C3_anneal,0.148600,0.074772,0.074772,0.073654,1.000000,0.147308,0.235065,0.142346,0.001292,0.027474
76,C3_anneal,0.143328,0.076960,0.076960,0.070961,1.000000,0.141922,0.265281,0.148913,0.001406,0.026500
77,C3_anneal,0.148341,0.079796,0.079796,0.073392,1.000000,0.146783,0.296641,0.143653,0.001557,0.026250
78,C3_anneal,0.152027,0.078157,0.078157,0.075157,1.000000,0.150314,0.328992,0.141629,0.001714,0.026051
79,C3_anneal,0.144577,0.078335,0.078335,0.071376,1.000000,0.142752,0.362176,0.143405,0.001825,0.025209
80,C3_anneal,0.146173,0.085370,0.085370,0.072113,1.000000,0.144226,0.396031,0.145827,0.001946,0.024578
81,C3_anneal,0.142514,0.082073,0.082073,0.070219,1.000000,0.140439,0.430393,0.144341,0.002075,0.024116
82,C3_anneal,0.141781,0.081032,0.081032,0.069792,1.000000,0.139584,0.465094,0.142834,0.002197,0.023630
83,C3_anneal,0.140655,0.081298,0.081298,0.069159,1.000000,0.138318,0.499965,0.144554,0.002337,0.023381
84,C3_anneal,0.141536,0.085294,0.085294,0.069555,1.000000,0.139111,0.534837,0.143405,0.002425,0.022674
85,C3_anneal,0.143201,0.087066,0.087066,0.070321,1.000000,0.140642,0.569538,0.144220,0.002559,0.022470
86,C3_anneal,0.141000,0.085034,0.085034,0.069169,1.000000,0.138337,0.603901,0.142806,0.002663,0.022043
87,C3_anneal,0.136129,0.081943,0.081943,0.066687,1.000000,0.133374,0.637757,0.142410,0.002755,0.021599
88,C3_anneal,0.140567,0.089022,0.089022,0.068854,1.000000,0.137709,0.670943,0.144753,0.002858,0.021304
89,C3_anneal,0.139130,0.090755,0.090755,0.068085,1.000000,0.136171,0.703295,0.145107,0.002959,0.021040
90,C3_anneal,0.136833,0.090489,0.090489,0.066892,1.000000,0.133783,0.734658,0.144085,0.003049,0.020752
91,C3_anneal,0.135627,0.087731,0.087731,0.066262,1.000000,0.132524,0.764877,0.144289,0.003102,0.020277
92,C3_anneal,0.132612,0.087082,0.087082,0.064729,1.000000,0.129457,0.793805,0.145546,0.003155,0.019874
